Brnd_Name,Gnrc_Name,Tot_Spndng_2019,Tot_Spndng_2023,Avg_Spnd_Per_Clm_2023,Tot_Clms_2023
Amcinonide,Amcinonide,91434.82,7156.69,275.2573077,26
Ameluz,Aminolevulinic Acid HCl,42756.09,277618.14,231.1558202,1201
Ameluz,Aminolevulinic Acid HCl,42756.09,277618.14,231.1558202,1201
Amethia,L-Norgest/E.Estradiol-E.Estrad,279809.81,13698.2,70.60927835,194
Amethia,L-Norgest/E.Estradiol-E.Estrad,3019,,,
Amethia,L-Norgest/E.Estradiol-E.Estrad,276790.81,7880.83,46.90970238,168
Amethyst,Levonorgestrel/Ethin.Estradiol,309980.53,260736.33,59.59687543,4375
Amethyst,Levonorgestrel/Ethin.Estradiol,309980.53,131782.19,59.92823556,2199
Amethyst,Levonorgestrel/Ethin.Estradiol,128954.14,,,
Amicar,Aminocaproic Acid,11968908.27,559430.76,2255.769194,248
Amicar,Aminocaproic Acid,11968908.27,559430.76,2255.769194,248
Amidate,Etomidate,228565.95,168583.47,345.4579303,488
Amidate,Etomidate,228565.95,168583.47,345.4579303,488
Amikacin Sulfate,Amikacin Sulfate,677926.51,462724.34,86.94557309,5322
Amikacin Sulfate,Amikacin Sulfate,252943.6,11943.79,57.42206731,208
Amikacin Sulfate,Amikacin Sulfate,7601.55,,,
Amikacin Sulfate,Amikacin Sulfate,6993.72,19554.65,305.5414063,64
Amikacin Sulfate,Amikacin Sulfate,49958.52,46388.67,59.85634839,775
Amikacin Sulfate,Amikacin Sulfate,161797.8,47355.94,89.01492481,532
Amikacin Sulfate,Amikacin Sulfate,206232.87,309669.71,85.47328457,3623
Amiloride HCl,Amiloride HCl,388752.27,410258.91,17.11980095,23964
Amiloride HCl,Amiloride HCl,139070.24,111038.17,19.03293966,5834
Amiloride HCl,Amiloride HCl,249682.03,220760.33,17.08671285,12920
Amiloride HCl,Amiloride HCl,8039.48,,,
Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,73963.18,65825.96,23.04023801,2857
Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,44953.28,65352.54,23.20757813,2816
Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,29009.9,473.42,11.54682927,41
Aminoacetic Acid,Glycine Urologic Solution,9864.02,102307.63,2087.910816,49
Aminoacetic Acid,Glycine Urologic Solution,9864.02,102307.63,2087.910816,49
Aminocaproic Acid*,Aminocaproic Acid,3904328.82,8518335.11,1011.198375,8424
